GHI,Gen
65.49790192,13.26391239
27.89414978,5.260433454
5.177760124,1.200050051
0,0.199719469
0,0.01776248
0,0.02271247
0,0.026112479
0.102737308,0.173525018
12.76997471,0.681475298
37.29761124,2.780287496
52.1380043,6.018542713
67.13150024,9.808730678
99.29159546,14.06324669
123.6689148,19.95896028
211.2924957,29.45984749
322.9510803,56.64968931
367.6588135,97.10082976
408.4962769,111.0667162
482.9784546,124.4138243
515.3727417,132.3885688
557.8406372,142.6571597
597.609375,148.8016017
631.6798706,152.956447
658.9552612,155.9934883
679.5626221,158.7007141
695.1089478,160.4947918
713.8446655,161.3895263
725.333374,162.8605427
718.8899536,163.5114789
726.3977051,163.3832303
727.0629272,162.7986386
715.6117554,162.357219
698.9293823,160.9268442
686.2507935,159.1085692
672.3179321,157.3746985
644.6029663,152.8616008
604.6486206,150.3301626
567.5661621,145.128576
529.847168,139.9008654
488.0256348,131.7393115
436.2958984,122.7142628
384.5877075,113.2047651
344.1763611,102.5823156
290.4692078,88.97258946
232.7700653,66.75333095
185.5437927,39.1914338
132.1090393,25.3645995
79.09965515,16.85354336
37.73984146,7.112364939
7.221844673,1.530577977
0,0.182687799
0,0.014179175
0,0.015674992
0,0.029337516
1.835592866,0.115849974
13.08817291,1.285128387
28.86194038,7.219111312
100.1583557,16.76615757
148.5378113,26.45072551
202.2845001,46.73228487
257.9380188,73.57995701
307.936554,89.83224681
362.7070923,103.3039044
411.0645752,114.4026642
457.5339661,125.3463139
500.8357544,134.0852527
540.4851074,141.1212283
577.8416138,146.3005124
610.1953735,150.1848132
636.3397217,152.6936944
663.6868896,155.0632457
679.8621216,156.8109364
697.7636108,158.5341879
710.6480713,159.5221429
717.9653931,160.2064673
721.2070923,160.2565151
719.616272,159.8622407
712.0395508,159.31555
702.949646,158.4445891
690.0308228,156.9639988
666.5432739,154.8659884
645.9194946,151.8671005
618.1142578,148.7829625
583.6749878,145.1503743
552.6771851,140.6732147
513.8491211,133.4525034
472.710083,125.1422006
428.3101196,116.1730464
374.4867249,105.7695677
321.0518188,94.31796083
269.4940186,80.71631846
220.6284943,63.36558745
169.3290405,36.84407481
121.0046234,23.68939169
74.91851044,15.73603802
35.25064087,7.016965747
7.391406059,1.554607801
0,0.223479693
0,0.005762521
0,0.021312491
0,0.029888953
0,0.016149988
1.358549953,0.020637485
6.041224957,0.086900013
10.70278549,0.548746106
15.46871281,1.472387506
22.35965919,2.314087462
32.57748413,3.226507206
40.60298157,4.739512569
53.82057571,6.580674919
60.99147415,7.966200061
68.08848572,8.985242361
68.28775024,10.7728699
80.20275879,11.40152416
91.78697205,12.91338796
93.19163513,13.31069752
94.18968964,14.96076329
103.5115662,16.9261166
122.5584869,20.10002521
108.0177231,21.57744245
130.9333954,23.70811168
129.343811,22.96170159
123.4888153,22.7661628
132.5362396,27.43933841
178.7973175,30.34364339
152.1807861,32.47536562
177.5708466,33.20759529
229.2893524,42.93405285
243.1296387,34.34947748
286.5739441,50.99413785
290.9579468,54.90761213
311.7391663,56.67399009
348.909729,57.89233424
311.4952698,58.6501746
308.9398193,71.77900511
277.9240723,70.0749027
243.2619476,55.3563327
201.8439484,50.00610397
154.1479797,36.58092947
116.1530457,26.22826283
80.97194672,17.57998087
51.23822403,10.4015982
25.39448357,4.820099085
6.360902786,1.144161467
0,0.231930858
0,0.061199197
2.262953281,0.035064406
7.988985538,0.152044337
11.04892349,0.923337929
16.89332581,1.804062152
21.8769989,3.091025087
27.23668098,4.498800891
48.88403702,6.582173764
62.91029358,9.5349738
67.5599823,13.25907229
104.1748428,18.48512674
124.503212,23.49659072
164.3134003,33.68992719
358.2850037,54.00496721
361.3541565,74.23327353
565.5449829,132.1911897
611.0244751,160.1049311
637.6314087,166.9531736
653.7444458,170.3402821
669.2114868,172.2660993
679.3566895,173.6471962
682.1668091,174.0343468
684.3647461,174.1999158
673.126709,173.984172
663.8470459,173.9802844
660.2197266,172.2770269
635.1164551,170.306315
639.1515503,167.5748978
597.007019,162.9438114
558.7998047,156.5288109
517.6609497,147.7821095
484.4773254,137.9789492
431.1523438,127.0004179
400.7491455,115.3372238
352.8325195,103.7419508
301.7424622,89.03620589
250.4915466,75.85646697
199.7483978,58.35445248
151.5309601,37.77552245
103.2414474,23.20476246
61.08203125,13.62564981
26.40317917,6.340338555
7.401634216,1.771391294
0,0.121965593
0,0.073479814
0,0.096459999
0,0.096537479
1.292363882,0.098009738
14.69529819,1.509821841
35.86378479,6.401476548
78.37955475,14.55422104
117.9607391,25.41300998
163.3506012,41.69752133
222.8798828,63.69467845
275.8644409,79.64653658
319.4453735,93.79981592
366.0624695,80.75469626
414.011261,120.8478917
462.8069458,133.5289351
508.9536438,145.5401901
546.364502,154.3117265
588.0356445,161.4710267
610.9373779,166.0657403
642.4151001,169.8577136
674.3998413,172.3776946
671.9916992,174.0632927
708.7547607,174.8160542
699.3563232,175.711617
706.0824585,176.5586366
708.9463501,175.7981475
716.0516357,175.1058122
693.6122437,173.0925483
685.901062,172.3518295
646.875,170.3937859
636.3189697,168.7313519
608.6623535,166.6173786
581.0560303,165.4232563
542.3790894,156.0629283
509.0775452,150.8213291
472.2258301,139.2565941
430.1478882,129.6549205
371.8045654,119.8121937
330.42099,108.9178714
288.5762634,95.73347143
232.7420349,78.96874213
181.7139587,49.37075689
129.9056091,29.2653676
79.84725189,18.97075162
37.58280945,9.207374914
9.585066795,2.352493796
0,0.063873942
0,0.109447092
0,0.108475757
0,0.114856155
0.631155908,0.033009342
13.66965103,1.93473758
32.45080185,8.45773764
92.50378418,18.3730374
140.2715302,29.540463
193.0183105,52.99879613
245.8828888,78.23924487
301.5933228,95.47538266
351.9313354,110.5965477
402.8802795,122.9960589
451.9833984,134.5274447
494.2874756,143.6692794
534.5418091,153.0392993
576.2164917,159.9871713
611.0936279,165.029891
639.5563965,168.578817
668.9112549,171.5514301
694.967041,174.0839161
719.6262207,176.2526476
731.0817261,177.79898
755.0342407,178.090665
748.201355,179.2186218
751.7666016,180.0386377
751.5130005,179.6424462
738.0983276,178.4791614
719.0808105,176.7705564
704.3695068,175.3855791
683.0915527,172.8104235
655.2783813,170.3474567
617.5930176,166.5274288
577.5031128,162.3886944
539.6674805,155.8901817
495.5941162,147.7672
451.6405334,136.9748357
398.2952881,125.8112982
348.4753418,114.0771861
302.2146606,101.3710935
249.1856384,83.84049727
195.6804504,55.4458252
146.7145386,32.69741104
94.01004028,21.8137007
46.9719162,12.33436767
12.19997787,2.648895175
0,0.047302453
0,0.098915119
0,0.118660864
1.021386623,0.15827813
15.09118652,1.881247773
32.23904037,7.821215143
86.23668671,17.41206468
135.2447357,28.60296862
185.4751587,50.01775658
237.8847046,74.1613125
289.3743896,90.06122257
342.1539612,105.0612117
390.5332031,117.6406938
442.5560303,130.7353227
489.4778442,142.0455556
534.3058472,152.9680833
570.8171997,161.4510961
607.4782104,166.584475
638.4036255,170.7089799
667.8861694,173.9458265
689.5111694,176.3817141
702.864502,178.0355568
716.1143799,178.9793148
713.6959229,178.2611546
719.2293091,178.7228957
720.3479004,178.9546284
713.1491699,179.66517
711.7210083,179.6048908
691.147522,177.3849904
680.4990234,175.8335314
651.4102783,172.0658501
624.4491577,168.0765743
585.4556274,164.6615889
559.8308105,157.6279642
509.9082642,148.2317898
467.1703796,112.6207318
